Date,DJIA_Close,DJIA_Change,DJIA_pct_Change,NDAQ_Close,NDAQ_Change,NDAQ_pct_Change,BTC_Price,BTC_Change,BTC_pct_Change
1/28/2014,15928.56,90.68,0.572551377,4097.96,14.35,0.003514048,785.9789259,35.03258462,4.665124882
1/29/2014,15738.79,-189.77,-1.191382021,4051.43,-46.53,-0.01135443,793.1107302,7.13180428,0.907378563
1/30/2014,15848.61,109.82,0.697766474,4123.13,71.7,0.017697455,800.9016243,7.79089411,0.982321108
1/31/2014,15698.85,-149.76,-0.944940913,4103.88,-19.25,-0.004668783,803.2089388,2.30731453,0.28808963
2/3/2014,15372.8,-326.05,-2.076903722,3996.96,-106.92,-0.026053393,807.0037999,-7.47522605,-0.917792333
2/4/2014,15445.24,72.44,0.471221898,4031.52,34.56,0.008646571,802.7826452,-4.2211547,-0.523065034
2/5/2014,15440.23,-5.01,-0.032437178,4011.55,-19.97,-0.004953467,780.2680179,-22.51462733,-2.804573251
2/6/2014,15628.53,188.3,1.219541419,4057.12,45.57,0.011359699,763.4019374,-16.86608047,-2.161575264
2/7/2014,15794.08,165.55,1.059280687,4125.86,68.74,0.016943053,703.4621199,-59.93981751,-7.851672176
2/10/2014,15801.79,7.71,0.048815759,4148.17,22.31,0.005407357,687.7943024,-0.59469922,-0.086389994
2/11/2014,15994.77,192.98,1.221254048,4191.04,42.87,0.010334678,674.76683,-13.0274724,-1.89409426
2/12/2014,15963.94,-30.83,-0.192750505,4201.29,10.25,0.002445694,652.3102339,-22.45659606,-3.328052753
2/13/2014,16027.59,63.65,0.398711095,4240.67,39.38,0.009373312,605.245001,-47.06523294,-7.215160899
2/14/2014,16154.39,126.8,0.791135785,4244.03,3.36,0.000792328,668.5433576,63.29835656,10.45830308
2/18/2014,16130.4,-23.99,-0.148504524,4272.78,28.75,0.006774222,628.1140305,-3.26403316,-0.516969681
2/19/2014,16040.56,-89.84,-0.55696077,4237.95,-34.83,-0.008151602,622.7092581,-5.40477238,-0.860476302
2/20/2014,16133.23,92.67,0.577722972,4267.55,29.6,0.006984509,561.4048613,-61.30439684,-9.844786478
2/21/2014,16103.3,-29.93,-0.185517717,4263.41,-4.14,-0.000970112,580.4265257,19.02166446,3.388225819
2/24/2014,16207.14,103.84,0.644836773,4292.97,29.56,0.006933417,536.0061826,-72.32465922,-11.88903377
2/25/2014,16179.66,-27.48,-0.1695549,4287.59,-5.38,-0.001253212,534.7685349,-1.23764769,-0.230901756
2/26/2014,16198.41,18.75,0.115886242,4292.06,4.47,0.001042544,584.6375265,49.86899156,9.325341396
2/27/2014,16272.65,74.24,0.458316588,4318.93,26.87,0.006260397,583.5787854,-1.05874105,-0.181093584
2/28/2014,16321.71,49.06,0.301487465,4308.12,-10.81,-0.002502935,553.4618596,-30.11692579,-5.160730058
3/3/2014,16168.03,-153.68,-0.94156801,4277.3,-30.82,-0.007153933,679.4333519,113.3536626,20.02432956
3/4/2014,16395.88,227.85,1.4092626,4351.97,74.67,0.017457274,672.3887489,-7.04460297,-1.036835026
3/5/2014,16360.18,-35.7,-0.217737627,4357.97,6,0.001378686,669.7731763,-2.61557261,-0.388997082
3/6/2014,16421.89,61.71,0.377196339,4352.13,-5.84,-0.001340073,668.3741601,-1.39901619,-0.208879101
3/7/2014,16452.72,30.83,0.187737221,4336.22,-15.91,-0.003655681,631.9173464,-36.45681374,-5.454551644
3/10/2014,16418.68,-34.04,-0.206895881,4334.45,-1.77,-0.00040819,627.9396448,-10.93304363,-1.711302397
3/11/2014,16351.25,-67.43,-0.41069075,4307.19,-27.26,-0.006289149,632.972702,5.03305727,0.801519272
3/12/2014,16340.08,-11.17,-0.06831282,4323.33,16.14,0.003747223,635.7250054,2.75230336,0.43482181
3/13/2014,16108.89,-231.19,-1.414864554,4260.42,-62.91,-0.014551283,642.6937813,6.96877587,1.09619345
3/14/2014,16065.67,-43.22,-0.268299057,4245.4,-15.02,-0.003525474,629.2893456,-13.40443569,-2.085664446
3/17/2014,16247.22,181.55,1.130049354,4279.95,34.55,0.00813822,623.1033688,-10.73554164,-1.693733449
3/18/2014,16336.19,88.97,0.547601374,4333.31,53.36,0.012467435,614.1818444,-8.92152437,-1.43178882
3/19/2014,16222.17,-114.02,-0.697959561,4307.6,-25.71,-0.005933109,610.5266554,-3.65518905,-0.595131407
3/20/2014,16331.05,108.88,0.671180243,4319.29,11.69,0.002713808,587.2014742,-23.32518124,-3.820501699
3/21/2014,16302.77,-28.28,-0.173167065,4276.79,-42.5,-0.00983958,570.7579578,-16.44351632,-2.800319319
3/24/2014,16276.69,-26.08,-0.159972814,4226.39,-50.4,-0.011784539,585.7522045,26.35944458,4.712153333
3/25/2014,16367.88,91.19,0.560249043,4234.27,7.88,0.001864475,584.0205868,-1.73161763,-0.295622896
3/26/2014,16268.99,-98.89,-0.604171096,4173.58,-60.69,-0.014333049,578.9568513,-5.06373559,-0.867047447
3/27/2014,16264.23,-4.76,-0.029258116,4151.23,-22.35,-0.005355115,475.1118094,-103.8450419,-17.93657708
3/28/2014,16323.06,58.83,0.361714019,4155.76,4.53,0.001091243,502.5032337,27.39142431,5.76525857
3/31/2014,16457.66,134.6,0.824600289,4198.99,43.23,0.010402429,456.4149276,-4.36968557,-0.948314124
4/1/2014,16532.61,74.95,0.455411037,4268.04,69.05,0.016444431,479.9518965,23.53696885,5.156923542
4/2/2014,16573,40.39,0.244305043,4276.46,8.42,0.001972803,438.2307794,-41.72111708,-8.692770544
4/3/2014,16572.55,-0.45,-0.00271526,4237.74,-38.72,-0.009054218,448.7715295,10.54075013,2.405296621
4/4/2014,16412.71,-159.84,-0.964486455,4127.73,-110.01,-0.025959592,449.2854323,0.51390275,0.114513225
4/7/2014,16245.87,-166.84,-1.016529263,4079.75,-47.98,-0.011623822,447.0630187,-10.6436966,-2.325440341
4/8/2014,16256.14,10.27,0.063216067,4112.99,33.24,0.008147558,452.9975515,5.9345328,1.327448828
4/9/2014,16437.18,181.04,1.113671511,4183.9,70.91,0.017240499,441.9998042,-10.99774725,-2.427771897
4/10/2014,16170.22,-266.96,-1.624122873,4054.11,-129.79,-0.031021296,363.8859611,-78.11384317,-17.67282302
4/11/2014,16026.75,-143.47,-0.887248287,3999.73,-54.38,-0.013413548,421.8815969,57.99563586,15.93786023
4/14/2014,16173.24,146.49,0.914034349,4022.69,22.96,0.005740387,459.5578679,42.1875724,10.10794799
4/15/2014,16262.56,89.32,0.552270293,4034.16,11.47,0.002851326,519.8398542,60.28198635,13.11738751
4/16/2014,16424.85,162.29,0.997936364,4086.23,52.07,0.012907272,530.4424478,10.60259361,2.039588447
4/17/2014,16408.54,-16.31,-0.099300755,4095.52,9.29,0.002273489,498.7076725,-31.73477536,-5.982699064
4/21/2014,16449.25,40.71,0.248102512,4121.55,26.03,0.006355725,495.5612613,-4.50354475,-0.900592222
4/22/2014,16514.37,65.12,0.395884311,4161.46,39.91,0.00968325,489.1839823,-6.37727902,-1.286880053
4/23/2014,16501.65,-12.72,-0.077023828,4126.97,-34.49,-0.008287957,491.5716403,2.38765803,0.488089986
4/24/2014,16501.65,0,0,4148.34,21.37,0.005178133,502.3214158,10.74977547,2.186817666
4/25/2014,16361.46,-140.19,-0.849551408,4075.56,-72.78,-0.017544367,465.1373413,-37.18407447,-7.402446581
4/28/2014,16448.74,87.28,0.533448726,4074.4,-1.16,-0.000284623,441.8369699,11.80665372,2.745539855
4/29/2014,16535.37,86.63,0.52666648,4103.54,29.14,0.007151973,447.1055355,5.26856563,1.192422995
4/30/2014,16580.84,45.47,0.274986287,4114.56,11.02,0.002685486,449.0348079,1.92927242,0.431502692
5/1/2014,16558.87,-21.97,-0.132502334,4127.45,12.89,0.003132777,459.9935099,10.95870197,2.440501667
5/2/2014,16512.89,-45.98,-0.277675953,4123.9,-3.55,-0.000860095,452.8604922,-7.13301769,-1.550677898
5/5/2014,16530.55,17.66,0.106946755,4138.06,14.16,0.003433643,432.5202,-3.36776006,-0.772620574
5/6/2014,16401.02,-129.53,-0.783579494,4080.76,-57.3,-0.013847068,429.3070811,-3.21311893,-0.742882975
5/7/2014,16518.54,117.52,0.716540801,4067.67,-13.09,-0.003207736,440.3063316,10.9992505,2.562093892
5/8/2014,16550.97,32.43,0.196324857,4051.5,-16.17,-0.003975249,439.2059748,-1.10035675,-0.249907092
5/9/2014,16583.34,32.37,0.195577661,4071.87,20.37,0.005027767,453.354869,14.14889423,3.221471255
