Date,BTC Price
9/12/2014,475.1242599
9/13/2014,478.5059265
9/14/2014,475.9286603
9/15/2014,472.6008773
9/16/2014,465.0917404
9/17/2014,456.2107246
9/18/2014,425.0668149
9/19/2014,394.2336258
9/20/2014,408.626525
9/21/2014,399.4525857
9/22/2014,403.1205756
9/23/2014,438.7969973
9/24/2014,424.322373
9/25/2014,409.4032482
9/26/2014,403.9367644
9/27/2014,400.3905879
9/28/2014,376.2936183
9/29/2014,373.7620966
9/30/2014,388.1904375
10/1/2014,383.9445942
10/2/2014,372.5368996
10/3/2014,359.4502698
10/4/2014,327.6065341
10/5/2014,321.0393287
10/6/2014,328.0867705
10/7/2014,335.6515472
10/8/2014,353.8086495
10/9/2014,364.1731677
10/10/2014,359.658648
10/11/2014,361.1429124
10/12/2014,378.1400302
10/13/2014,391.4831259
10/14/2014,399.9019931
10/15/2014,394.2597824
10/16/2014,382.0965141
10/17/2014,382.9023961
10/18/2014,391.0158815
10/19/2014,388.2040861
10/20/2014,380.8002791
10/21/2014,384.5557768
10/22/2014,380.0236752
10/23/2014,357.8722407
10/24/2014,357.4566995
10/25/2014,345.3654738
10/26/2014,353.5013865
10/27/2014,349.4979736
10/28/2014,354.8171683
10/29/2014,334.2969693
10/30/2014,345.2008237
10/31/2014,337.058227
11/1/2014,325.6476245
11/2/2014,324.0025146
11/3/2014,325.2068183
11/4/2014,329.7518951
11/5/2014,338.7441184
11/6/2014,350.3734543
11/7/2014,341.9099361
11/8/2014,344.858253
11/9/2014,362.8051793
11/10/2014,366.0678905
11/11/2014,368.4865639
11/12/2014,431.9923879
11/13/2014,420.1274223
11/14/2014,399.9290868
11/15/2014,375.706922
11/16/2014,391.2688339
11/17/2014,387.6912487
11/18/2014,373.3482793
11/19/2014,376.4261759
11/20/2014,356.8141191
11/21/2014,350.6684624
11/22/2014,352.947484
11/23/2014,367.9883544
11/24/2014,376.0416096
11/25/2014,377.0380516
11/26/2014,369.6777291
11/27/2014,370.1743142
11/28/2014,377.2983895
11/29/2014,376.1787316
11/30/2014,379.5210833
12/1/2014,380.6354731
12/2/2014,383.1112098
12/3/2014,375.8465751
12/4/2014,370.2808642
12/5/2014,377.7039696
12/6/2014,376.3991499
12/7/2014,376.3546086
12/8/2014,361.970468
12/9/2014,352.0719793
12/10/2014,345.1924483
12/11/2014,348.7170017
12/12/2014,352.4045849
12/13/2014,347.6927132
12/14/2014,354.6167372
12/15/2014,347.0014003
12/16/2014,326.3193352
12/17/2014,319.8662331
12/18/2014,312.047813
12/19/2014,318.5636757
12/20/2014,330.1159954
12/21/2014,320.7616513
12/22/2014,332.4951038
12/23/2014,336.0990856
12/24/2014,322.8570814
12/25/2014,318.9561048
12/26/2014,327.5920737
12/27/2014,316.2548671
12/28/2014,317.1776904
12/29/2014,312.9633322
12/30/2014,311.1016448
12/31/2014,322.1062466
1/1/2015,314.960524
1/2/2015,316.110271
1/3/2015,280.0315011
1/4/2015,264.2909774
1/5/2015,275.0634353
1/6/2015,288.5236155
1/7/2015,297.9628865
1/8/2015,283.3542884
1/9/2015,291.0168197
1/10/2015,275.9174292
1/11/2015,267.1485403
1/12/2015,268.5146558
1/13/2015,227.9318192
1/14/2015,180.0687498
1/15/2015,210.0848369
1/16/2015,208.5686211
1/17/2015,201.0599414
