Date, DJIA_Close,DJIA_Change,DJIA_pct_Change, Close,NDAQ_Change,NDAQ_pct_Change
2018-05-09,24542.54,182.33,0.748474664,7339.91,73.01,0.010046925
2018-05-10,24739.53,196.99,0.802647159,7404.97,65.06,0.008863869
2018-05-11,24831.17,91.64,0.370419325,7402.88,-2.09,-0.000282243
2018-05-14,24899.41,68.24,0.274815887,7411.32,8.44,0.001140097
2018-05-15,24706.41,-193,-0.775118768,7351.63,-59.69,-0.008053896
2018-05-16,24768.93,62.52,0.253051738,7398.3,46.67,0.006348252
2018-05-17,24713.98,-54.95,-0.22185052,7382.47,-15.83,-0.002139681
2018-05-18,24715.09,1.11,0.004491385,7354.34,-28.13,-0.003810378
2018-05-21,25013.29,298.2,1.20655033,7394.04,39.7,0.005398173
2018-05-22,24834.41,-178.88,-0.715139832,7378.46,-15.58,-0.002107102
2018-05-23,24886.81,52.4,0.210997563,7425.96,47.5,0.006437658
2018-05-24,24811.76,-75.05,-0.301565367,7424.43,-1.53,-0.000206034
2018-05-25,24753.09,-58.67,-0.236460453,7433.85,9.42,0.001268784
2018-05-29,24361.45,-391.64,-1.582186305,7396.59,-37.26,-0.005012208
2018-05-30,24667.78,306.33,1.257437468,7462.45,65.86,0.008904103
2018-05-31,24415.84,-251.94,-1.02133228,7442.12,-20.33,-0.002724306
2018-06-01,24635.21,219.37,0.898474105,7554.33,112.21,0.015077693
2018-06-04,24813.69,178.48,0.72449149,7606.46,52.13,0.006900678
2018-06-05,24799.98,-13.71,-0.055251758,7637.86,31.4,0.00412807
2018-06-06,25146.39,346.41,1.396815643,7689.24,51.38,0.006727015
2018-06-07,25241.41,95.02,0.37786736,7635.07,-54.17,-0.00704491
2018-06-08,25316.53,75.12,0.297606196,7645.51,10.44,0.001367374
2018-06-11,25322.31,5.78,0.022830933,7659.93,14.42,0.001886074
2018-06-12,25320.73,-1.58,-0.006239557,7703.79,43.86,0.005725901
2018-06-13,25201.2,-119.53,-0.472063799,7695.7,-8.09,-0.001050132
2018-06-14,25175.31,-25.89,-0.102733203,7761.04,65.34,0.008490456
2018-06-15,25090.48,-84.83,-0.336957122,7746.38,-14.66,-0.001888922
2018-06-18,24987.47,-103.01,-0.410554123,7747.03,0.65,8.39102E-05
2018-06-19,24700.21,-287.26,-1.149616188,7725.59,-21.44,-0.002767512
